.\datasets\images\10010052.jpg| A girl is on rollerskates talking on her cellphone standing in a parking lot .,,,,,,,,,| A trendy girl talking on her cellphone while gliding slowly down the street .,,,,,,,,,| A young adult wearing rollerblades , holding a cellular phone to her ear .,,,,,,,,| there is a young girl on her cellphone while skating .,,,,,,,,,| Woman talking on cellphone and wearing rollerskates .,,,,,,,,,
.\datasets\images\241346923.jpg| The American football team in white are attempting to stop the player in red who is running with the ball .,,,,,,,,,| A football player runs with a ball , chased by the opposing team .,,,,,,,,| A football player runs with the ball as others run towards him .,,,,,,,,,| A player has the football as a crowd in red and white watches,,,,,,,,,| Two teams playing a football game in a packed stadium,,,,,,,,,
.\datasets\images\241347356.jpg| Football player in white and purple uniform with legs being tackled by player in red and white uniform .,,,,,,,,,| The red football player is grabbing the purple and white player 's leg to try and stop him .,,,,,,,,,| A pro football player tackles another player on the goal line in a crowded stadium .,,,,,,,,,| Football player tackling another player in a football game .,,,,,,,,,| A football player tries diving after another player .,,,,,,,,,
.\datasets\images\241347664.jpg| A football team doing their stretches before the game starts .,,,,,,,,,| The four football players in red stretch on the green turf .,,,,,,,,,| The football players are working on stretching their legs .,,,,,,,,,| Football players are stretching together .,,,,,,,,,| A football team doing excercises,,,,,,,,,
.\datasets\images\241374292.jpg| Some people are gathered around a truck carrying some statues .,,,,,,,,,| A group of people gather in front of plastic statues .,,,,,,,,,| Group of people gathering around a parade float .,,,,,,,,,| A crowd of people standing in front of statues .,,,,,,,,,| Several people are gathered by some statues .,,,,,,,,,
.\datasets\images\241596333.jpg| Younger looking man wearing black shorts and tank , with running shoes , laying down on a outdoor bench .,,,,,,,| A man in shorts and a sleeveless shirt lies down on a stone bench under the trees .,,,,,,,,,| A man wearing a black shirt sleeping on a concrete bench near a tree .,,,,,,,,,| The man lay on a concrete bench after running in the park .,,,,,,,,,| A man in a blank tank top lying down on a gray bench .,,,,,,,,,
.\datasets\images\24187380.jpg| The constructions workers are smoothing out freshly poured concrete .,,,,,,,,,| Construction workers in safety vests work on the light rail tracks .,,,,,,,,,| Several construction working laying down cement .,,,,,,,,,| Workers are paving a road using concrete .,,,,,,,,,| men doing construction on a road .,,,,,,,,,
.\datasets\images\2419186511.jpg| A little baby is taking a bath in a large Tupperware bowl filled with water .,,,,,,,,,| a baby who is sticking out its tongue is being held inside a bowl of water .,,,,,,,,,| A smiling baby is sitting in a large plastic tub of water .,,,,,,,,,| A baby is taking a bath in a bowl full of water .,,,,,,,,,| A cute baby takes a bath in a large clear bowl .,,,,,,,,,
.\datasets\images\2420457108.jpg| A woman in a maroon tennis outfit is on the tennis court and is bouncing the tennis ball on the court floor with her racket .,,,,,,,,,| A blond girl in a maroon tennis outfit is using a tennis racket to bounce a tennis ball .,,,,,,,,,| A girl in a red dress and white sneakers bouncing a tennis ball with a tennis racket .,,,,,,,,,| A female Texas A&M tennis player dribbling the tennis ball .,,,,,,,,,| A woman in a red outfit playing tennis .,,,,,,,,,
.\datasets\images\2420549526.jpg| A man sitting on a kitchen floor using wooden spoons to hit metal pans .,,,,,,,,,| A man playing the drums on a set of pots and pans with wooden spoons .,,,,,,,,,| Man beating on pots and pans with a wooden spoon and stick .,,,,,,,,,| A man sitting on the kitchen floor playing drums on pots .,,,,,,,,,| A man is banging on pots and pans in his kitchen .,,,,,,,,,
.\datasets\images\242064301.jpg| There is a man walking with a bag in front of a black square paneled wall .,,,,,,,,,| A man walking in front of a black cement wall with a bag on his shoulder .,,,,,,,,,| A man wearing a black shirt and carrying a messenger bag is walking .,,,,,,,,,| A man with a messenger bag in front of a gray tile wall .,,,,,,,,,| A man with a brown bag walks in front of a gray wall .,,,,,,,,,
.\datasets\images\2421156369.jpg| Three females jog together along a crowded stone sidewalk .,,,,,,,,,| Three women wearing shorts are jogging,,,,,,,,,| Three women running on cobblestone .,,,,,,,,,| Three women are jogging on a path .,,,,,,,,,| Three women are exercising .,,,,,,,,,
.\datasets\images\2421367904.jpg| A group of people examine a boat with an orange flag that is sitting on sand next to a body of water .,,,,,,,,,| Many fishermen are trying to drag a boat to the shore from the sea .,,,,,,,,,| A group of people push a boat away from the water onto the beach .,,,,,,,,,| A group of men using logs to push a boat out of the water .,,,,,,,,,| a group of young men and women push a boat to shore .,,,,,,,,,
.\datasets\images\2421823977.jpg| Four men are standing in front of a wall that is full of graffiti as another man is poised above looking down on them .,,,,,,,,,| A young man is on top of an industrial structure where his friends are looking at him .,,,,,,,,,| Four men looking up at another man getting ready to do something .,,,,,,,,,| A man kneels on top of a platform as four men look up at him .,,,,,,,,,| Men working on a photo shoot .,,,,,,,,,
.\datasets\images\2421824693.jpg| Man with a backpack and bandanna reviewing pictures on his DSLR camera .,,,,,,,,,| A man wearing a bandanna around his head is holding a camera .,,,,,,,,,| A young man pauses to examine the image on his camera .,,,,,,,,,| A man is standing on a rooftop looking at his camera .,,,,,,,,,| A man outside on gravel looking down into a camera .,,,,,,,,,
.\datasets\images\2421965120.jpg| Students that look to be asian are sitting down on steps at a college campus and seem to be watching something in the distance .,,,,,,,,,| A group of young Asians are sitting on steps , eating and watching something going on in front of them .,,,,,,,,| A group of Asian youths sitting on the steps of a university quad .,,,,,,,,,| A group of students are sitting outside on campus .,,,,,,,,,| A group of Asian youth sit on stairs .,,,,,,,,,
.\datasets\images\2422482455.jpg| A person in an orange coat prepares to throw a stick to a black dog .,,,,,,,,,| A man in an orange shirt plays fetch with a black French poodle,,,,,,,,,| Woman in orange jacket playing with a black dog,,,,,,,,,| A person playing with her large black dog .,,,,,,,,,| A woman holding a stick out for a dog .,,,,,,,,,
.\datasets\images\2422637172.jpg| A man with a red shirt on and a backpack is taking pictures of graffiti on a wall .,,,,,,,,,| A photographer takes pictures of a wall covered in graffiti .,,,,,,,,,| Man in red hoodie taking pictures of graffiti on the wall .,,,,,,,,,| A man takes a picture of colorful art painted on a wall .,,,,,,,,,| A man in a red jacket takes pictures of graffiti .,,,,,,,,,
.\datasets\images\2423118738.jpg| A man standing in shallow water with clothes on kicks his foot up to splash the water .,,,,,,,,,| An asian man wearing a blue shirt is kicking up water .,,,,,,,,,| A man playfully kicks the water in a peaceful river .,,,,,,,,,| A man is standing in a pond and playing with water .,,,,,,,,,| A man standing in water uses his leg to splash .,,,,,,,,,
.\datasets\images\2423138514.jpg| Two young , naked boys are wet , while one raises his arm .,,,,,,,| Two naked children , one with a mark on his chest .,,,,,,,,| Two naked young boys play in the water .,,,,,,,,,| Two naked boys smiling and playing .,,,,,,,,,| Two naked boys at a pool .,,,,,,,,,
.\datasets\images\242397237.jpg| Two elderly men are sitting on a boat that appears to be traveling down a river in the middle of the forest .,,,,,,,,,| Two old men sit in the front of a boat named Cyranka on a lush , tree lined river .,,,,,,,,| Two men sit on the bow of a colorful boat as it travels through a narrow waterway .,,,,,,,,,| Two men are sitting at the prow of a boat on a river surrounded by greenery .,,,,,,,,,| Two older males sitting together on a river boat tour .,,,,,,,,,
.\datasets\images\242658502.jpg| Two people sitting on some steps looking away and what looks like a man laying on the top step with a black shirt and boots and faded blue jeans .,,,,,,,,,| A person sits with their back to a column while another person sits on nearby steps leading down .,,,,,,,,,| Someone wearing black shoes and a black jacket lays down at the top of the stairs .,,,,,,,,,| Someone sits behind a wall at the top of a set of wooden or cement steps .,,,,,,,,,| Two men sitting on the steps and one man sleeping behind them .,,,,,,,,,
.\datasets\images\2426781076.jpg| A boy wearing all black is sliding down a blow up yellow slide .,,,,,,,,,| The boy is coming down the amusement slide on his knees .,,,,,,,,,| A kid in black going down an inflatbale slide .,,,,,,,,,| Boy sliding down a slide on his knees .,,,,,,,,,| A boy speeding down a steep slide .,,,,,,,,,
.\datasets\images\2426958307.jpg| An overweight man in a white hat , white shirt , and black jeans is conversing with man in a black robe in a city while a little boy stares at them both .,,,,,,,| A religious man is speaking with a man wearing an orange backpack as a child stands nearby .,,,,,,,,,| A holy figure in a city is talking to a tourist while a boy watches in the background .,,,,,,,,,| A man in a black robe talking to another man with an orange backpack on the street .,,,,,,,,,| A man in church robes is talking to a man with a backpack , while a child watches .,,,,,,,,
.\datasets\images\2427490900.jpg| Many people sit at the base of a large marble archway engraved with names .,,,,,,,,,| a group of people sitting on the ground outside of a monument .,,,,,,,,,| A group of people sit on both sides of a red stone structure .,,,,,,,,,| A group of people sit together near the stairs of a monument .,,,,,,,,,| People sit on both sides of a memorial .,,,,,,,,,
.\datasets\images\2427840554.jpg| Two workers are working on a elaborate scaffolding along side a tall building .,,,,,,,,,| Two men in a glass enclosure working with hard hats on .,,,,,,,,,| Workers are attending to a building with many windows .,,,,,,,,,| Two window cleaners clean tall glass building .,,,,,,,,,| Two workers on the 4th floor of a glass room .,,,,,,,,,
.\datasets\images\2428088070.jpg| A woman in a red sweater , along with two young boys , eating from red heart shape plates at a wooden table .,,,,,,,| A lady in a red shirt and two young boys sit around a table eating and drinking .,,,,,,,,,| A woman and two little boys posing for a picture at a dinner table .,,,,,,,,,| A woman and two boys sit at a table and eating and drinking .,,,,,,,,,| A lady in a red shirt and two young boys are eating a meal .,,,,,,,,,
.\datasets\images\2428912710.jpg| A male ski enthusiast dressed in black sits down under a ski lift while a younger child wearing a gray , orange and white ski jacket stand next to him .,,,,,,,,| A man sitting down with his snowboard next to a woman standing with ski on a snowy mountain .,,,,,,,,,| A snowboarder and a skier are taking a break near the lift .,,,,,,,,,| Skiers resting and waiting for the next ski lift .,,,,,,,,,| Two people at the top of a ski lift .,,,,,,,,,
.\datasets\images\2429175207.jpg| A woman in a black shirt with long brown hair standing in front of a microphone .,,,,,,,,,| A woman wearing a black top standing in front of and holding a microphone .,,,,,,,,,| A dark-haired woman wearing a black shirt holds a microphone in her hands .,,,,,,,,,| A red-haired woman dresses in black stands at a green microphone .,,,,,,,,,| Brunette woman singing on stage with a microphone .,,,,,,,,,
.\datasets\images\2429212017.jpg| The children in the scene are in a petting zoo and are acting like a duck or chicken .,,,,,,,,,| Two children playing in a fenced in grassy area with farm animals .,,,,,,,,,| Two kids playing in a yard with some farm animals .,,,,,,,,,| Two children play in a yard with farm animals .,,,,,,,,,| Two children playing around farm animals .,,,,,,,,,
